id,gender,masterCategory,subCategory,baseColour,season,usage,productDisplayName,,
39716,Women,Apparel,Dress,Blue,Summer,Casual,Arrow Woman Women Blue Dress,,
25349,Men,Apparel,Innerwear,Red,Summer,Casual,Levis Men Red Brief,,
11940,Men,Footwear,Sandal,Black,Summer,Casual,Ganuchi Men Casual Black Sandals,,
55802,Women,Apparel,Loungewear and Nightwear,White,Summer,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,,
29584,Men,Apparel,Topwear,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,,
43967,Women,Personal Care,Fragrance,Red,Spring,Casual,DKNY Women Red Delicious Perfume,,
28456,Women,Apparel,Bottomwear,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,,
34009,Girls,Apparel,Topwear,Black,Summer,Casual,Gini and Jony Girls Black Top,,
19311,Men,Footwear,Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe,,
42089,Men,Footwear,Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes,,
22950,Unisex,Accessories,Watches,Black,Winter,Casual,Fastrack Unisex Black Dial Watch 9915PP13,,
49461,Men,Footwear,Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes,,
8746,Unisex,Footwear,Flip Flops,Navy Blue,Summer,Casual,Crocs Kids Navy Blue Clogs,,
9694,Men,Apparel,Topwear,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,,
23882,Men,Footwear,Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes,,
34835,Men,Footwear,Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes,,
15984,Men,Apparel,Topwear,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,,
41268,Men,Accessories,Wallets,Black,Summer,Casual,Arrow Men Black Wallet,,
11518,Women,Footwear,Shoes,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels,,
14856,Women,Accessories,Wallets,Beige,Summer,Casual,United Colors of Benetton Women Solid Beige Wallets,,
33648,Men,Footwear,Sandal,Brown,Summer,Casual,Lotto Men Ridge Brown Sandals,,
59297,Men,Apparel,Topwear,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,,
28032,Men,Apparel,Innerwear,White,Summer,Casual,Jockey ELANCE Men Bikini White Brief 1005,,
27846,Women,Apparel,Topwear,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,,
26994,Women,Apparel,Bottomwear,Black,Summer,Casual,Jealous 21 Women Black Jeans,,
49839,Women,Footwear,Flip Flops,Red,Winter,Casual,iPanema Women Red Flip Flops,,
31923,Women,Accessories,Bags,Blue,Summer,Casual,Fabindia Women Blue Silk Sling Bag,,
2618,Women,Footwear,Shoes,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal,,
54588,Women,Apparel,Topwear,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,,
49005,Women,Accessories,Jewellery,Silver,Summer,Casual,Lucera Women Silver Ring,,
8322,Boys,Apparel,Topwear,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,,
13841,Unisex,Accessories,Watches,White,Winter,Casual,ADIDAS Unisex Three Small Dials White Watches,,
28200,Men,Accessories,Eyewear,Copper,Winter,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,,
12993,Unisex,Footwear,Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes,,
7158,Men,Apparel,Topwear,Green,Fall,Casual,Scullers Men  Green Check Shirt,,
18495,Men,Footwear,Sandal,White,Fall,Casual,Puma Men Fashion Cat White Slipper,,
8110,Men,Accessories,Watches,Black,Winter,Casual,Fastrack Men Economy 2 Analg Black Watch,,
19547,Men,Apparel,Topwear,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,,
7964,Men,Apparel,Topwear,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,,
36934,Women,Personal Care,Fragrance,Gold,Spring,Casual,Giorgio Armani Women Idole Perfume,,
39140,Women,Apparel,Apparel Set,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit,,
20851,Women,Accessories,Bags,Red,Winter,Casual,Spice Art Women Ribbon Embroidery Red Clutch,,
41866,Men,Footwear,Sandal,Beige,Fall,Casual,Estd. 1977 Men Beige & Green Sandals,,
58177,Women,Accessories,Bags,Brown,Summer,Casual,Rocky S Women Brown Handbag,,
44528,Men,Footwear,Sandal,Black,Summer,Casual,Coolers Men Black Sandals,,
16392,Men,Apparel,Topwear,Red,Fall,Casual,Levis Men Check Red Shirts,,
51455,Women,Apparel,Topwear,Pink,Summer,Casual,Tonga Women Pink Printed Shrug,,
50587,Men,Apparel,Innerwear,Grey,Summer,Casual,Chromozome Men Grey Briefs,,
17240,Men,Apparel,Topwear,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,,
47530,Women,Footwear,Shoes,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals,,
6617,Men,Apparel,Topwear,Black,Summer,Casual,Spykar Men Black and white Check Shirt,,
12732,Unisex,Accessories,Bags,Black,Fall,Sports,Nike Unisex Swoosh Black Backpack,,
3365,Men,Apparel,Topwear,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,,
42042,Men,Footwear,Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,,
23849,Men,Footwear,Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,,
43190,Women,Accessories,Watches,White,Winter,Casual,Fastrack Women White Dial Watch,,
48578,Men,Accessories,Jewellery,Steel,Summer,Casual,Revv Men Steel Bracelet,,
30462,Women,Apparel,Innerwear,Black,Summer,Casual,Lovable Women All Day Long Black Bra,,
18208,Men,Accessories,Headwear,White,Fall,Casual,Manchester United Men Solid White Cap,,
54127,Women,Footwear,Shoes,Black,Winter,Casual,Rocia Women Black Heels,,
10065,Men,Apparel,Topwear,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,,
24250,Men,Footwear,Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes,,
32335,Men,Accessories,Watches,Silver,Winter,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,,
25382,Men,Apparel,Innerwear,White,Summer,Casual,Levis Men White Innerwear Vest,,
56670,Men,Accessories,Watches,Black,Winter,Casual,Maxima Men Black Dial Watch,,
5092,Men,Apparel,Topwear,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,,
10859,Men,Apparel,Topwear,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,,
59638,Women,Apparel,Saree,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,,
15517,Men,Footwear,Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes,,
4140,Women,Footwear,Shoes,Green,Winter,Casual,Skechers Women Green Shoe,,
36795,Men,Accessories,Watches,Silver,Winter,Casual,Maxima Men Ssteele Silver Dial Watch,,
40527,Men,Accessories,Watches,Gold,Winter,Casual,Titan Men Gold Dial Watch,,
10257,Men,Apparel,Bottomwear,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,,
24062,Men,Apparel,Topwear,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,,
45869,Men,Accessories,Watches,Brown,Winter,Casual,Maxima Men Brown Dial Watch,,
11385,Women,Apparel,Topwear,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,,
53130,Women,Footwear,Shoes,Brown,Winter,Casual,Catwalk Women Brown Sandals,,
44187,Women,Personal Care,Fragrance,White,Spring,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,,
21510,Women,Accessories,Bags,White,Winter,Casual,Kiara Women Graphiti White Handbag,,
51667,Men,Accessories,Eyewear,Grey,Winter,Casual,Louis Philippe Men Grey Sunglasses,,
22395,Men,Apparel,Topwear,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,,
35322,Women,Accessories,Jewellery,Silver,Winter,Ethnic,Fabindia Women Anusuya Silver Earrings,,
6425,Unisex,Footwear,Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe,,
18806,Men,Accessories,Belts,Tan,Summer,Casual,Peter England Men Casual Tan Belt,,
23247,Men,Footwear,Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe,,
17072,Women,Accessories,Belts,Grey,Winter,Casual,Lino Perros Women Weaved  Grey Belt,,
31782,Women,Apparel,Topwear,Blue,Summer,Casual,Lee Women Paula Blue Top,,
42270,Unisex,Footwear,Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes,,
12500,Men,Apparel,Topwear,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,,
26735,Men,Personal Care,Fragrance,Black,Spring,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,,
30650,Men,Apparel,Topwear,Black,Summer,Casual,Nike Men Printed Black T-shirt,,
56026,Women,Personal Care,Lips,Brown,Spring,Casual,Colorbar Soft Touch Mousse Lipstick 025,,
21948,Women,Accessories,Bags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,,
32563,Women,Apparel,Bottomwear,Blue,Summer,Casual,ONLY Women directoire blue Trousers,,
58980,Women,Personal Care,Fragrance,Pink,Spring,Casual,Colour me Women Flowers Deo,,
40143,Girls,Apparel,Topwear,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,,
10633,Men,Footwear,Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes,,
24406,Women,Apparel,Topwear,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,,
4716,Unisex,Accessories,Watches,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch,,
21174,Women,Apparel,Topwear,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,,
15341,Women,Apparel,Bottomwear,Pink,Fall,Sports,Nike Women Solid Pink Shorts,,
52486,Women,Apparel,Innerwear,Maroon,Winter,Casual,Red Rose Maroon Camisole,,
53554,Men,Apparel,Innerwear,Multi,Summer,Casual,Probase Multicoloured Printed Boxers,,
14293,Men,Apparel,Topwear,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,,
47366,Women,Accessories,Bags,Blue,Summer,Casual,Baggit Women Blue Bag,,
6041,Men,Apparel,Topwear,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,,
23623,Girls,Apparel,Topwear,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,,
17416,Men,Footwear,Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe,,
9835,Women,Apparel,Topwear,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,,
29319,Unisex,Accessories,Bags,Red,Summer,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,,
7193,Women,Apparel,Bottomwear,Black,Fall,Casual,Jealous 21 Women Black Jegging,,
12958,Men,Footwear,Shoes,Black,Fall,Sports,ADIDAS Men Sports Black Sports Shoes,,
27283,Women,Apparel,Topwear,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,,
30234,Men,Footwear,Flip Flops,Black,Summer,Casual,Numero Uno Men Black Flip Flops,,
9009,Women,Accessories,Bags,Brown,Winter,Casual,Murcia Women Snake Print Bag Brown Handbags,,
3533,Men,Apparel,Topwear,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,,
42614,Women,Accessories,Jewellery,Gold,Winter,Casual,Estelle Women Earrings & Pendant Set,,
12164,Women,Apparel,Topwear,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta,,
26351,Women,Accessories,Watches,White,Winter,Casual,DKNY Women White Dial Watch NY8472,,
17624,Men,Apparel,Bottomwear,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,,
47154,Girls,Apparel,Bottomwear,Black,Summer,Casual,Gini and Jony Girls Black Capris,,
35574,Men,Footwear,Flip Flops,Red,Summer,Casual,Gliders Men Esquire Red Flip Flops,,
46086,Women,Footwear,Shoes,Lavender,Summer,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,,
51031,Women,Apparel,Innerwear,White,Summer,Casual,Enamor White Bra,,
13284,Men,Apparel,Bottomwear,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,,
54543,Men,Footwear,Shoes,White,Fall,Casual,F Sports Men White Outlander Sports Shoes,,
55491,Women,Personal Care,Lips,Brown,Spring,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,,
26163,Men,Apparel,Bottomwear,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,,
3701,Women,Apparel,Topwear,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,,
29917,Men,Accessories,Watches,White,Winter,Casual,Police Men White Dial Watch PL12698JS,,
42426,Women,Apparel,Topwear,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,,
32751,Men,Footwear,Shoes,Black,Summer,Casual,FILA Men Liga II Black Shoes,,
56214,Women,Accessories,Jewellery,Gold,Winter,Casual,Estelle Women Gold Earrings,,
10401,Women,Apparel,Topwear,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,,
40371,Women,Apparel,Bottomwear,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,,
21346,Men,Accessories,Eyewear,Gold,Winter,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,,
45603,Men,Footwear,Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,,
4524,Men,Footwear,Shoes,Black,Summer,Sports,Puma Men's YugoRun Black White Shoe,,
37223,Women,Apparel,Topwear,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,,
53766,Men,Apparel,Topwear,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,,
25520,Girls,Apparel,Topwear,White,Fall,Casual,Doodle Kids Girls City Chic White Top,,
32597,Women,Apparel,Topwear,Black,Summer,Casual,ONLY Women Black Top,,
58974,Men,Personal Care,Fragrance,Gold,Spring,Casual,Colour me Men Gold Deo,,
33445,Women,Accessories,Wallets,Black,Summer,Casual,Baggit Women Lamboo Mayur Black Wallet,,
57100,Women,Apparel,Topwear,Pink,Summer,Casual,Elle Women Dark Pink Top,,
36137,Women,Footwear,Shoes,Pink,Summer,Sports,Nike Women Free Run Pink Sports Shoes,,
41859,Men,Footwear,Sandal,Black,Summer,Casual,Estd. 1977 Men Black Sandals,,
21180,Men,Footwear,Flip Flops,Black,Summer,Casual,ADIDAS Men Adi Cells Black Flip Flops,,
39943,Men,Footwear,Shoes,Brown,Summer,Casual,GAS Men Brown Count Casual Shoes,,
52472,Women,Apparel,Loungewear and Nightwear,Pink,Winter,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,,
58148,Unisex,Accessories,Headwear,White,Fall,Casual,Puma Unisex White Cap,,
20052,Women,Accessories,Mufflers,Yellow,Fall,Casual,United Colors Of Benetton Women Yellow Muffler,,
5630,Women,Footwear,Flip Flops,Blue,Summer,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,,
44517,Men,Footwear,Flip Flops,Brown,Summer,Casual,Coolers Men Brown Pokar Flip Flops,,
47392,Women,Accessories,Bags,Beige,Fall,Casual,Baggit Women Beige Bag,,
50325,Women,Apparel,Topwear,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,,
8913,Men,Footwear,Shoes,White,Fall,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,,
16530,Men,Apparel,Topwear,Red,Fall,Casual,Locomotive Men Check Red Shirt,,
22705,Men,Footwear,Shoes,White,Fall,Casual,Nike Men White Capri II Casual Shoe,,
7167,Men,Apparel,Topwear,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,,
46240,Women,Apparel,Topwear,White,Summer,Casual,Fusion Beats Women White Printed Tunic,,
27277,Women,Apparel,Topwear,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,,
13042,Women,Footwear,Shoes,Brown,Winter,Casual,Inc 5 Women Brown Heels,,
6889,Women,Apparel,Topwear,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,,
31312,Women,Apparel,Topwear,Peach,Summer,Ethnic,W Women Peach Kurta,,
12190,Men,Apparel,Topwear,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,,
55657,Women,Footwear,Shoes,Gold,Winter,Casual,Catwalk Women Golden Wedges,,
19578,Women,Apparel,Topwear,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,,
27879,Women,Apparel,Topwear,Blue,Summer,Casual,Scullers For Her Women Blue Top,,
34452,Women,Footwear,Shoes,Copper,Winter,Casual,Rocia Women Copper Sandals,,
6287,Men,Apparel,Topwear,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,,
7355,Men,Apparel,Topwear,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,,
46072,Men,Accessories,Belts,Black,Summer,Casual,Lino Perros Men Black Leather Belt,,
22537,Men,Footwear,Sandal,Tan,Summer,Casual,Gas Men Eldorado Tan Casual  Sandals,,
28831,Women,Apparel,Innerwear,Brown,Summer,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief,,
43500,Men,Apparel,Topwear,White,Summer,Casual,French Connection Men White T-shirt,,
2627,Women,Footwear,Shoes,Silver,Fall,Casual,Carlton London Women Wedge Silver Sandal,,
27045,Women,Accessories,Bags,Off White,Summer,Casual,Yelloe Off White Fur Zip Clutch,,
13270,Women,Apparel,Topwear,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,,
18698,Men,Apparel,Innerwear,Grey,Summer,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,,
55465,Women,Personal Care,Lips,Red,Spring,Casual,Revlon Super Lusterous Lipstick 304,,
26197,Men,Personal Care,Fragrance,Green,Spring,Casual,Formula 1 Go Men Perfume,,
31120,Girls,Apparel,Topwear,Pink,Summer,Casual,Palm Tree Girls Pink Top,,
25712,Unisex,Accessories,Headwear,Blue,Summer,Sports,ADIDAS Unisex Blue Cap,,
11527,Men,Apparel,Topwear,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,,
14869,Men,Accessories,Wallets,Black,Summer,Casual,United Colors of Benetton Men Solid Black Wallets,,
40385,Women,Apparel,Topwear,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top,,
15187,Men,Apparel,Topwear,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts,,
5402,Women,Footwear,Shoes,Purple,,Sports,Kalenji Ekiden 200 Wn Purple 2011,,
